[0.00s - 2.00s]  Jumping five times.
[1681.60s - 1693.60s]  Opening the chessboard on the shelf.
[1693.60s - 1704.60s]  Picking up the chessboard from the shelf.
[1704.60s - 1708.60s]  Opening the laptop and checking the laptop.
[1734.60s - 1763.60s]  Picking up the laptop.
[1763.60s - 1792.60s]  Arranging the chess pieces on the laptop.
[1792.60s - 1968.60s]  Playing chess.
[1968.60s - 1991.60s]  Standing up.
[1991.60s - 1995.60s]  Picking up the laptop.
[1995.60s - 2383.60s]  Sitting on the bed and using the laptop
[2383.60s - 2412.60s]  Standing walking and placing the laptop back onto the table.
[2412.60s - 2416.60s]  Picking up the 20 kg ball from the ground.
[2416.60s - 2428.60s]  Doing squats.
[2428.60s - 2435.60s]  Stretching arms above the head, one after the other.
[2435.60s - 2442.60s]  Stretching from left to right.
[2442.60s - 2446.60s]  Touching the heels of the foot.
[2446.60s - 2453.60s]  Arm rotations.
[2453.60s - 2456.60s]  Neck rotations.
[2456.60s - 2460.60s]  Walking back to the table.
[2460.60s - 2489.60s]  Picking up and arranging the chess set back.
[2503.60s - 2514.60s]  Placing the chess board back onto the shelf.
[2514.60s - 2519.60s]  Picking up the watering can and the spray bottle.
[2521.60s - 2528.60s]  Watering the plant.
[2528.60s - 2548.60s]  Placing the watering can back in on the shelf
[2577.60s - 2583.60s]  Cutting more cucumbers on the coffee table while sitting in the coffee chair.
[2583.60s - 2585.60s]  Standing up.
[2585.60s - 2588.60s]  Adding more cucumbers to the glass.
[2588.60s - 2617.60s]  Smashing the cucumbers.
[2617.60s - 2626.60s]  Pouring water to the glass.
[2626.60s - 2629.60s]  Placing the water bottle back onto the table.
[2629.60s - 2632.60s]  Closing the glass.
[2632.60s - 2651.60s]  Shaking the glass to create a cocktail.
[2651.60s - 2673.60s]  Using a tissue and wiping the glass and the hands.
[2673.60s - 2686.60s]  Pouring the cocktail into the glass.
[2686.60s - 2706.60s]  Drinking the cocktail.
[2706.60s - 2718.60s]  Placing it back onto the table.
[2718.60s - 2747.60s]  Taking another sip of the cocktail.
[2747.60s - 2759.60s]  Drinking the cocktail.
[2759.60s - 2773.60s]  Throwing the trash from the glass back into the dustbin.
[2773.60s - 2777.60s]  Putting the cocktail mix back onto the shelf.
[2777.60s - 2804.60s]  Walking.
[2804.60s - 2816.60s]  Picking up a pencil from the stationery box.
[2816.60s - 2878.60s]  Drawing on a paper.
[2878.60s - 2892.60s]  Taking up the stationery box from the shelf.
[2892.60s - 2917.60s]  sharpening the pencil.
[2917.60s - 2976.60s]  Drawing on a paper.
[3066.60s - 3082.04s]  Standing up from the chair.
[3112.04s - 3123.60s]  Five jumps.
