[0.00s - 4.00s]  Five jumps.
[2503.64s - 2521.64s]  Picking up a piece of tape and sticking the sensors on the tie.
[2521.64s - 2532.64s]  Walking.
[2532.64s - 2535.64s]  Opening a bottle of water.
[2535.64s - 2541.64s]  Pouring a glass of water.
[2541.64s - 2548.64s]  Drinking the water from the glass.
[2548.64s - 2554.64s]  Placing the glass on the coffee table.
[2554.64s - 2558.64s]  Picking up a piece of paper from the coffee table.
[2558.64s - 2570.64s]  Playing with the piece of paper.
[2570.64s - 2585.64s]  Walking around.
[2585.64s - 2590.64s]  Picking up the book from the desk.
[2590.64s - 2595.64s]  Picking up other pens from the desk.
[2595.64s - 2598.64s]  Picking up the phone.
[2598.64s - 2602.64s]  Placing the paper on the table.
[2602.64s - 2627.64s]  Walking.
[2627.64s - 2630.64s]  Placing the magazine back into the shelf.
[2630.64s - 2655.64s]  Walking.
[2655.64s - 2659.64s]  Sitting on the exercise mat.
[2659.64s - 2683.64s]  Doing crunches.
[2683.64s - 2710.64s]  Standing up.
[2710.64s - 2714.64s]  Fixing the t-shirt.
[2714.64s - 2725.64s]  Trying to balance on one leg.
[2725.64s - 2753.64s]  Trying to balance on the left leg.
[2753.64s - 2777.64s]  Picking up a 20 kg ball.
[2777.64s - 2782.64s]  Placing it on the other side of the mat.
[2782.64s - 2790.64s]  Walking.
[2790.64s - 2797.64s]  Looking around while turning.
[2797.64s - 2801.64s]  Adjusting the fan settings.
[2801.64s - 2806.64s]  Moving it around.
[2806.64s - 2814.64s]  Sitting on the sofa chair.
[2814.64s - 2821.64s]  Adjusting the headgear.
[2821.64s - 2829.64s]  Looking around.
[2829.64s - 2833.64s]  Wiping the nose.
[2833.64s - 2840.64s]  Looking around.
[2840.64s - 2863.64s]  Looking up.
[2863.64s - 2866.64s]  Setting up from the chair.
[2866.64s - 2870.64s]  Adjusting the fan settings.
[2870.64s - 2872.64s]  Walking.
[2872.64s - 2875.64s]  Picking up a paper aeroplane.
[2875.64s - 2878.64s]  Throwing the paper aeroplane.
[2878.64s - 2881.64s]  Walking to collect it.
[2881.64s - 2886.64s]  Picking up the paper aeroplane.
[2886.64s - 2888.64s]  Walking with it.
[2888.64s - 2892.64s]  Placing the paper aeroplane onto the table.
[2892.64s - 2896.64s]  Walking.
[2896.64s - 2906.64s]  Picking up the glass of water and placing it on the tall table.
[2906.64s - 2915.64s]  Picking up the cube and placing it in the shelf.
[2915.64s - 2920.64s]  Adjusting the headgear.
[2920.64s - 2923.64s]  Looking around.
[2923.64s - 2946.64s]  Walking.
[2946.64s - 2960.64s]  Sitting in the tall chair.
[2960.64s - 2962.64s]  Getting up from the tall chair.
[2962.64s - 2965.64s]  Walking.
[2965.64s - 2968.64s]  Sitting in the coffee chair.
[2968.64s - 2971.64s]  Picking up the paper aeroplane.
[2998.64s - 3010.64s]  Standing up.
[3010.64s - 3015.64s]  Picking on the keyboard.
[3015.64s - 3018.64s]  Standing.
[3018.64s - 3024.64s]  Typing on the keyboard again.
[3024.64s - 3032.64s]  Turning around.
[3032.64s - 3044.64s]  Walking.
[3044.64s - 3049.64s]  Pointing.
[3049.64s - 3053.64s]  Doing five jumps.
