[0.00s - 2.00s]  Five jumps.
[1600.00s - 1606.00s]  Walking towards the shelf. Picking up tape from the shelf.
[1606.00s - 1635.00s]  Adjusting the sensors on the body using tape.
[1635.00s - 1663.00s]  Using tape.
[1663.00s - 1685.00s]  Sticking it to the body to hold up the sensors.
[1685.00s - 1714.00s]  Touching the heels in a standing position. Twisting the body from left to right with the feet planted.
[1715.00s - 1734.00s]  Knee raises with body twists. Yawning.
[1734.00s - 1763.00s]  Using the laptop on the high table.
[1763.00s - 1777.00s]  Wiping along to the music.
[1777.00s - 1792.00s]  Sitting on the bed with one leg on the bed and one leg on the ground.
[1792.00s - 1821.00s]  Sitting back straight. Adjusting t-shirt.
[1822.00s - 1850.00s]  Sleeping on the bed.
[1850.00s - 1879.00s]  Putting both legs onto the bed and sleeping.
[1879.00s - 1895.00s]  Stretching arms and legs.
[1895.00s - 1923.00s]  Stretching the legs.
[1951.00s - 1968.00s]  Getting up from the bed. Walking.
[1968.00s - 1973.00s]  Standing in front of the shelf. Picking up a book.
[1973.00s - 1979.00s]  Walking towards the sofa chair. Sitting down on the sofa chair.
[1979.00s - 2135.00s]  Flipping through the pages in the book.
[2135.00s - 2248.00s]  Playing chess.
[2248.00s - 2258.00s]  Placing hands on the face. Back onto the table.
[2258.00s - 2281.00s]  Standing up and shaking the bottle of cocktail and drinking it.
[2281.00s - 2296.00s]  Picking up trash that has fallen down. Placing it back onto the table.
[2296.00s - 2325.00s]  Moving head to the sound of music while playing chess.
[2578.00s - 2598.00s]  Standing up. Walking.
[2598.00s - 2615.00s]  Making a jogging motion. Standing at the high table and typing with both hands on the laptop.
[2615.00s - 2622.00s]  Walking.
[2622.00s - 2645.00s]  Vibing to the sound of music. Moving the whole body.
[2652.00s - 2680.00s]  Walking.
[2680.00s - 2696.00s]  Standing still. Bending down to pick the barbell up.
[2696.00s - 2724.00s]  Doing weight lifts with the barbell.
[2724.00s - 2748.00s]  I'm lifting the barbell above the head.
[2748.00s - 2752.00s]  Placing the barbell back on the floor.
[2752.00s - 2780.00s]  Vibing to the music and moving the whole body.
[2780.00s - 2808.00s]  Stretching the legs.
[2808.00s - 2820.00s]  Picking up a pen from the shelf. Searching for a piece of paper.
[2820.00s - 2848.00s]  Walking with a piece of paper to the high table.
[2848.00s - 2877.00s]  Working on the laptop using both hands.
[2903.00s - 2932.00s]  Bending knees to the sound of music while working on the laptop. Stop working on the laptop. Dancing along music.
[2933.00s - 2949.00s]  Raising hands above the head to the right, to the left and stretching all the body.
[2949.00s - 2973.00s]  Pulling the chair out from the table and dragging it to the center of the room in front of the coffee table. Sitting on the chair.
[2973.00s - 2994.00s]  Moving head along to the sound of music.
[2994.00s - 3019.00s]  Moving hands along with music.
[3019.00s - 3048.00s]  Standing up. Going back to the high table and using both hands to type on the laptop.
[3049.00s - 3077.00s]  Bending both knees in front of the table.
[3105.00s - 3185.00s]  typing with two hands.
[3185.00s - 3205.00s]  Bending knees to the sound of music while standing and working on the laptop.
[3205.00s - 3234.00s]  Mimicking writing on the wall in the air. Back to typing on the laptop at the high table.
[3234.00s - 3259.00s]  Typing on the laptop at the main desk.
[3259.00s - 3275.00s]  Standing in front of the exercise mat and doing five jumps.
