[0.00s - 2.00s]  5 jumps.
[1213.00s - 1217.00s]  Pouring water.
[1217.00s - 1223.00s]  Closing the water bottle.
[1223.00s - 1248.00s]  Drinking the water.
[1248.00s - 1265.00s]  Drinking water.
[1265.00s - 1277.00s]  Walking.
[1277.00s - 1280.00s]  Picking up a book from the shelf.
[1280.00s - 1283.00s]  Walking.
[1283.00s - 1287.00s]  Sitting on the chair.
[1287.00s - 1294.00s]  Putting one leg over the other and reading the book in the other hand.
[1294.00s - 1322.00s]  Drinking water.
[1322.00s - 1351.00s]  Drinking water.
[1351.00s - 1380.00s]  Drinking water.
[1380.00s - 1409.00s]  Drinking water.
[1409.00s - 1438.00s]  Drinking water.
[1438.00s - 1467.00s]  Drinking water.
[1467.00s - 1496.00s]  Drinking water.
[1496.00s - 1525.00s]  Drinking water.
[1525.00s - 1554.00s]  Drinking water.
[1554.00s - 1583.00s]  Drinking water.
[1583.00s - 1612.00s]  Drinking water.
[1612.00s - 1641.00s]  Drinking water.
[1641.00s - 1670.00s]  Drinking water.
[1670.00s - 1699.00s]  Drinking water.
[1699.00s - 1728.00s]  Drinking water.
[1728.00s - 1757.00s]  Drinking water.
[1757.00s - 1786.00s]  Drinking water.
[1786.00s - 1815.00s]  Drinking water.
[1815.00s - 1844.00s]  Drinking water.
[1844.00s - 1856.00s]  Drinking water.
[1856.00s - 1860.00s]  Standing up.
[1860.00s - 1862.00s]  Walking.
[1862.00s - 1864.00s]  Placing the book into the shelf.
[1864.00s - 1866.00s]  Walking.
[1866.00s - 1870.00s]  Adjusting the fan settings.
[1871.00s - 1880.00s]  Walking.
[1880.00s - 1899.00s]  Pouring a glass of water.
[1899.00s - 1928.00s]  Drinking water.
[1928.00s - 1941.00s]  Drinking water.
[1941.00s - 1944.00s]  Picking up phone from the table.
[1944.00s - 1955.00s]  Using the phone.
[1955.00s - 1962.00s]  Drinking water.
[1962.00s - 1971.00s]  Drinking water.
[1971.00s - 1984.00s]  Drinking water.
[1984.00s - 2013.00s]  Drinking water.
[2013.00s - 2042.00s]  Drinking water.
[2042.00s - 2071.00s]  Drinking water.
[2071.00s - 2080.00s]  Drinking water.
[2080.00s - 2100.00s]  Drinking water.
[2100.00s - 2129.00s]  Drinking water.
[2129.00s - 2158.00s]  Drinking water.
[2158.00s - 2187.00s]  Drinking water.
[2187.00s - 2216.00s]  Drinking water.
[2216.00s - 2245.00s]  Drinking water.
[2245.00s - 2274.00s]  Drinking water.
[2274.00s - 2303.00s]  Drinking water.
[2303.00s - 2332.00s]  Drinking water.
[2332.00s - 2361.00s]  Drinking water.
[2361.00s - 2390.00s]  Drinking water.
[2390.00s - 2419.00s]  Drinking water.
[2419.00s - 2448.00s]  Drinking water.
[2448.00s - 2477.00s]  Drinking water.
[2477.00s - 2506.00s]  Drinking water.
[2506.00s - 2535.00s]  Drinking water.
[2535.00s - 2564.00s]  Drinking water.
[2564.00s - 2593.00s]  Drinking water.
[2593.00s - 2622.00s]  Drinking water.
[2622.00s - 2651.00s]  Drinking water.
[2652.00s - 2655.00s]  Standing up.
[2655.00s - 2659.00s]  Walking.
[2659.00s - 2668.00s]  While playing with the cube in the hand.
[2668.00s - 2672.00s]  Looking around.
[2672.00s - 2678.00s]  Placing the cube onto the shelf.
[2678.00s - 2680.00s]  Walking around.
[2680.00s - 2682.00s]  Taking the phone out of the pocket.
[2682.00s - 2687.00s]  Typing on the phone.
[2687.00s - 2691.00s]  Putting the phone back inside the pocket.
[2691.00s - 2698.00s]  Walking.
[2698.00s - 2701.00s]  Touching the cursor pad of the laptop.
[2701.00s - 2707.00s]  Walking around.
[2707.00s - 2710.00s]  Picking up the bottle of water.
[2710.00s - 2714.00s]  Opening the water bottle.
[2714.00s - 2716.00s]  Watering the can.
[2716.00s - 2718.00s]  Watering the plant.
[2718.00s - 2721.00s]  Placing the bottle back onto the high table.
[2721.00s - 2727.00s]  Walking.
[2727.00s - 2730.00s]  Picking up the 20 kg ball.
[2730.00s - 2733.00s]  Lifting it about the head.
[2733.00s - 2735.00s]  Back to the chest.
[2736.00s - 2744.00s]  And doing squats with the ball.
[2744.00s - 2750.00s]  Placing the ball back onto the floor.
[2750.00s - 2756.00s]  Walking.
[2756.00s - 2766.00s]  Stretching the knees.
[2766.00s - 2775.00s]  Stretching the right knee.
[2775.00s - 2780.00s]  Stretching the arms.
[2780.00s - 2786.00s]  Stretching the right arm.
[2786.00s - 2792.00s]  Raising arms above the head.
[2792.00s - 2804.00s]  Twisting from left to right.
[2804.00s - 2820.00s]  Touching the toes with fingers.
[2820.00s - 2822.00s]  Picking up the glasses.
[2822.00s - 2825.00s]  Placing the glasses on top of the head.
[2825.00s - 2828.00s]  Walking.
[2828.00s - 2830.00s]  Picking up the glasses from the eyes.
[2830.00s - 2833.00s]  Placing it onto the eyes.
[2833.00s - 2835.00s]  Taking off the glasses.
[2835.00s - 2844.00s]  Placing the glasses back onto the table.
[2844.00s - 2847.00s]  Walking around.
[2847.00s - 2849.00s]  Peeping through the curtains.
[2849.00s - 2856.00s]  Walking.
[2856.00s - 2859.00s]  Picking up the 1 kg dumbbells.
[2859.00s - 2864.00s]  Doing arm raises.
[2864.00s - 2874.00s]  From front.
[2874.00s - 2877.00s]  Doing seated arm raises.
[2877.00s - 2881.00s]  On to the sides of the body.
[2881.00s - 2883.00s]  Standing up from the chair.
[2883.00s - 2885.00s]  Walking.
[2885.00s - 2892.00s]  Picking the bubble back onto the floor.
[2892.00s - 2896.00s]  Touching the laptop cursor pad.
[2896.00s - 2901.00s]  Walking around.
[2901.00s - 2904.00s]  Taking the phone out of the pocket.
[2904.00s - 2906.00s]  Sitting on the bed.
[2906.00s - 2910.00s]  Laying down.
[2910.00s - 2914.00s]  Laying on the belly.
[2914.00s - 2921.00s]  Picking the phone in the hands.
[2921.00s - 2928.00s]  Picking up the glasses.
[2928.00s - 2936.00s]  Picking up the glasses.
[2936.00s - 2946.00s]  Picking up the glasses.
[2946.00s - 2956.00s]  Picking up the glasses.
[2956.00s - 2958.00s]  Twisting out of the bed.
[2958.00s - 2962.00s]  Standing up.
[2962.00s - 2964.00s]  Walking.
[2964.00s - 2967.00s]  Picking up the mini pool table.
[2967.00s - 2969.00s]  Placing it on the desk.
[2969.00s - 2972.00s]  Sitting on the chair.
[2972.00s - 2979.00s]  Laying mini pool.
[3002.00s - 3012.00s]  Picking up the glasses.
[3012.00s - 3022.00s]  Picking up the glasses.
[3022.00s - 3046.00s]  Picking up the mini pool table.
[3046.00s - 3048.00s]  Standing up.
[3048.00s - 3050.00s]  Picking up the pool table.
[3050.00s - 3053.00s]  Placing it onto the shelf.
[3053.00s - 3061.00s]  Walking.
[3061.00s - 3064.00s]  Picking up the 20kg bubble.
[3064.00s - 3072.00s]  Placing it on the floor.
[3072.00s - 3078.00s]  Walking.
[3078.00s - 3084.00s]  Picking up the mat.
[3084.00s - 3088.00s]  Doing 5 jumps.
