[0.00s - 2.00s]  Five jumps.
[1757.12s - 1778.16s]  Wiping the face with the tissue.
[1778.16s - 1795.20s]  Throwing the trash into the dustbin, walking, standing,
[1800.64s - 1805.20s]  adjusting the fan speed.
[1808.64s - 1815.20s]  Wiping the face.
[1820.40s - 1823.20s]  Standing and reading instructions from the computer.
[1826.80s - 1829.20s]  Looking around.
[1832.64s - 1835.20s]  Stretching arms above the head.
[1838.72s - 1841.20s]  From left to right.
[1844.24s - 1851.20s]  Adjusting the sensors on this chest.
[1853.12s - 1857.84s]  Adjusting t-shirt. Picking up the dumbbell in the left arm.
[1860.16s - 1865.20s]  Doing muscle raises.
[1868.16s - 1875.20s]  Pitching arms.
[1886.08s - 1889.20s]  Pitching arms. Doing muscle raises with the right arm.
[1898.16s - 1905.20s]  Pitching arms.
[1914.88s - 1919.20s]  Placing the dumbbell onto the floor.
[1919.20s - 1924.24s]  Walking.
[1928.24s - 1930.24s]  Sitting onto the chair.
[1932.24s - 1934.24s]  Stretching the legs out.
[1934.24s - 1936.24s]  Placing one leg over the other.
[1936.24s - 1938.24s]  Placing it black.
[1938.24s - 1940.24s]  Changing, switching legs.
[1940.24s - 1943.28s]  Placing one leg over the other.
[1943.28s - 1945.28s]  Taking out phone from the pocket.
[1945.28s - 1947.28s]  Texting on the phone.
[1989.36s - 2018.40s]  Getting up from the chair.
[2019.40s - 2027.40s]  Walking towards the bed.
[2027.40s - 2029.40s]  Sitting on the corner of the bed.
[2049.40s - 2071.40s]  Standing up from the bed.
[2071.40s - 2075.40s]  Doing single handed.
[2075.44s - 2083.44s]  Weight lifting.
[2083.44s - 2087.44s]  Lifting the weight with only one arm.
[2087.44s - 2093.44s]  Switching arms.
[2093.44s - 2097.44s]  Lifting the weight with the right arm.
[2097.48s - 2103.48s]  Lifting the weight with the right arm.
[2103.48s - 2109.48s]  Placing it back onto the floor.
[2109.52s - 2127.52s]  Picking up the 20 kilo ball.
[2127.52s - 2131.52s]  Placing it back onto the floor.
[2134.52s - 2138.52s]  Picking it up again.
[2139.52s - 2143.52s]  Placing it onto the floor again.
[2151.52s - 2155.52s]  Touching the cursor pad of the laptop.
[2155.52s - 2161.52s]  Standing, looking around.
[2161.56s - 2169.56s]  Stretching and relaxing the shoulders.
[2181.56s - 2185.56s]  Turning around, walking towards the table.
[2185.56s - 2187.56s]  Picking up the phone.
[2187.60s - 2191.60s]  Texting on the phone while standing.
[2197.60s - 2199.60s]  Walking.
[2209.60s - 2213.60s]  Sitting on the floor.
[2217.60s - 2221.60s]  Picking up the phone.
[2259.60s - 2268.96s]  Using the phone while sitting on the floor.
[2289.60s - 2309.80s]  Crossing the legs, getting up from the floor.
[2310.52s - 2317.24s]  Taking the time on the watch. Walking.
[2317.24s - 2322.56s]  Placing the phone into the pocket and adjusting the t-shirt.
[2322.56s - 2326.72s]  Walking.
[2332.72s - 2337.16s]  Standing in front of the desk and reading the instructions on the laptop.
[2337.72s - 2345.32s]  Stacking the time on the watch. Looking back onto the computer.
[2348.72s - 2350.92s]  Turning around to look at the shelves.
[2360.32s - 2362.72s]  Picking up the stapler.
[2367.16s - 2385.16s]  Walking around with the stapler in the hand.
[2397.16s - 2415.24s]  Stapling a piece of paper.
[2415.24s - 2419.88s]  Opening the stapler to check for staples.
[2427.16s - 2436.64s]  Picking up the stapler to check for staples.
[2436.64s - 2460.60s]  Stapling a piece of paper.
[2460.60s - 2467.04s]  Closing the stapler.
[2467.04s - 2474.20s]  Walking.
[2474.20s - 2481.80s]  Placing the stapler back onto the shelf.
[2490.60s - 2500.08s]  Closing the chair, the foldable chair.
[2500.08s - 2505.32s]  Picking it up.
[2505.32s - 2510.52s]  Placing it at the side of the table.
[2510.52s - 2523.60s]  Picking up the paperweight, examining it.
[2523.60s - 2531.72s]  Placing the paperweight on the table.
[2531.72s - 2539.08s]  Picking up a pen.
[2539.08s - 2546.72s]  Twisting the pen in the hand.
[2546.72s - 2551.92s]  Picking up the foldable chair.
[2551.92s - 2553.92s]  Opening it.
[2553.92s - 2555.92s]  Sitting on the chair.
[2555.92s - 2561.24s]  Writing, flipping through pieces of paper.
[2561.24s - 2569.40s]  Writing on the paper.
[2621.24s - 2633.40s]  Slipping the pen closed.
[2633.40s - 2636.12s]  Slipping the papers.
[2636.12s - 2638.12s]  Placing the pen on the table.
[2638.12s - 2641.40s]  Placing the weight on the paper.
[2641.40s - 2654.76s]  Standing up from the chair.
[2654.76s - 2659.20s]  Picking up the paperweight.
[2659.20s - 2675.72s]  Playing with the paperweight by switching hands, juggling with it.
[2675.72s - 2682.56s]  Placing the paperweight back onto the shelf.
[2682.56s - 2700.84s]  Walking.
[2700.84s - 2707.04s]  Sitting on the edge of the foldable chair.
[2707.04s - 2709.88s]  Getting up.
[2709.88s - 2716.28s]  Switching the fan settings.
[2716.28s - 2725.68s]  Touching the hair.
[2725.68s - 2741.72s]  Moving around.
[2741.72s - 2745.96s]  Relaxing shoulders.
[2745.96s - 2749.92s]  Moving.
[2749.92s - 2753.88s]  Touching the cursor pad of the laptop.
[2754.08s - 2758.56s]  Placing the chair in its position.
[2758.56s - 2760.56s]  Turning around.
[2760.56s - 2764.56s]  Walking.
[2764.56s - 2770.56s]  Looking around.
[2770.56s - 2774.56s]  Sitting on the sofa chair.
[2775.24s - 2798.08s]  Standing up with the watermelon in the hand.
[2798.08s - 2800.08s]  Walking.
[2800.08s - 2802.36s]  Standing on the chair with the watermelon in the hand.
[2802.36s - 2807.76s]  walking, standing and eating the watermelon.
[2832.36s - 2840.36s]  wiping the face with the hands, eating watermelon.
[2862.36s - 2881.36s]  picking up a tissue from the high table, wiping the face.
[2892.36s - 2904.36s]  throwing the tissue in the dustbin.
[2904.36s - 2923.36s]  sitting on the tall chair, opening the water bottle, pouring some water into the glass.
[2934.36s - 2962.36s]  drinking water from the glass while seated in the high chair.
[2965.36s - 2977.36s]  drinking the glass of water.
[2977.36s - 2982.36s]  cleaning the table with the pieces of tissue.
[2982.36s - 2987.36s]  crumpling the tissue and placing it into the back pocket.
[2987.36s - 2993.36s]  walking.
[2993.36s - 3002.36s]  standing in front of the table.
[3002.36s - 3007.36s]  pulling the chair, sitting in the chair.
[3007.36s - 3023.36s]  typing on the laptop.
[3023.36s - 3037.36s]  getting up from the chair, doing jumping jacks.
[3037.36s - 3053.36s]  looking around, walking to the table.
[3053.36s - 3057.36s]  walking.
[3057.36s - 3063.36s]  sitting on the bed.
[3063.36s - 3072.36s]  fluffing the pillow, laying with the pillow, throwing it up and catching the pillow.
[3072.36s - 3079.36s]  picking up the fallen pillow.
[3079.36s - 3088.36s]  fluffing the pillow, placing it back on the bed.
[3088.36s - 3102.36s]  walking.
[3102.36s - 3107.36s]  five jumps.
