[0.00s - 2.00s]  Five jumps.
[2011.66s - 2015.66s]  Placing the glass back onto the table.
[2015.66s - 2021.66s]  Walking.
[2021.66s - 2050.66s]  Typing on the laptop while standing.
[2050.66s - 2078.66s]  Doing yoga.
[2078.66s - 2088.66s]  Taking a sip from the cocktail glass.
[2088.66s - 2096.66s]  Placing the glass back onto the table.
[2096.66s - 2101.66s]  Taking the chessboard from the shelf.
[2101.66s - 2107.66s]  Walking towards the bed.
[2107.66s - 2111.66s]  Placing the chessboard on the bed.
[2111.66s - 2116.66s]  Placing the phone on the bed.
[2116.66s - 2126.66s]  Sitting on the bed with legs crossed.
[2126.66s - 2130.66s]  Opening the chess box.
[2130.66s - 2138.66s]  Taking the pieces out of the chess box.
[2138.66s - 2141.66s]  Flipping the chessboard.
[2258.66s - 2281.66s]  Placing the legs onto the ground.
[2281.66s - 2333.66s]  Playing chess.
[2333.66s - 2353.66s]  Gathering the chess pieces.
[2353.66s - 2356.66s]  Flipping the board.
[2356.66s - 2366.66s]  Placing the pieces back onto the chessboard.
[2366.66s - 2372.66s]  Closing the chess box.
[2372.66s - 2375.66s]  Picking the chess box up.
[2375.66s - 2377.66s]  Getting off the bed.
[2377.66s - 2380.66s]  Walking towards the shelf.
[2380.66s - 2388.66s]  Placing the chessboard back onto the shelf.
[2388.66s - 2391.66s]  Walking.
[2391.66s - 2416.66s]  Taking another sip from the cocktail glass.
[2416.66s - 2419.66s]  Picking up a book off the shelf.
[2419.66s - 2422.66s]  Walking towards the bed.
[2422.66s - 2425.66s]  Sitting on the bed.
[2425.66s - 2428.66s]  With my legs on the bed.
[2428.66s - 2431.66s]  Resting.
[2431.66s - 2435.66s]  Moving my head onto the pillow and reading the book.
[2461.66s - 2523.66s]  Flipping the pages.
[2583.66s - 2643.50s]  Rest both hands on the bed while sleeping.
[2653.34s - 2669.18s]  Crossing legs.
[2699.18s - 2719.02s]  Turning body to the right side.
[2789.18s - 2815.02s]  Rolling out of the bed.
[2815.02s - 2824.86s]  Stretching arms into the air.
[2824.86s - 2831.34s]  Stretching legs by looking left to right.
[2831.34s - 2835.66s]  Twisting the upper body.
[2835.66s - 2840.78s]  Standing up from the bed.
[2841.74s - 2857.10s]  Fixing the fabric onto the thighs.
[2857.10s - 2867.10s]  Walking.
[2867.90s - 2876.94s]  Standing in front of the table.
[2876.94s - 2899.10s]  Walking towards the table.
[2899.34s - 2916.86s]  Picking up and arranging stuff on the table.
[2916.86s - 2922.54s]  Picking up the watering can from the shelves.
[2922.78s - 2925.42s]  Walking towards the plant.
[2925.42s - 2940.30s]  Watering the plant.
[2940.30s - 2947.50s]  Placing the watering can back onto the shelf.
[2947.50s - 2951.58s]  Sitting on the shelf.
[2951.58s - 2969.50s]  Picking up the glasses from the table and cleaning the glasses.
[2982.38s - 2992.38s]  Wearing the glasses back onto the face.
[2992.38s - 3001.42s]  Sitting in a resting position with legs crossed.
[3001.42s - 3009.42s]  Uncrossing the legs and shifting them back in the chair.
[3011.58s - 3026.46s]  Picking up a paper from the table and playing with it.
[3026.46s - 3041.34s]  Standing up from the chair.
[3041.34s - 3049.74s]  Fixing clothes.
[3049.74s - 3057.98s]  Jumping five times.
